probeID	symbol	description	accession	ensg	unigene
112	LRRC47	Leucine rich repeat containing 47	AB033011	ENSG00000130764	Hs.268488
113	ERMN	"Ermin, ERM-like protein"	AB033015	ENSG00000136541	Hs.443894
114	ZBTB47	Zinc finger and BTB domain containing 47	AB033016	NA	Hs.409561
115	KIAA1191	KIAA1191	AB033017	ENSG00000122203	Hs.519783
116	MIER2	"Mesoderm induction early response 1, family member 2"	AB033019	ENSG00000105556	Hs.101891
117	LRBA	"LPS-responsive vesicle trafficking, beach and anchor containing"	M83822	ENSG00000198589	Hs.480938
118	LRRK2	Leucine-rich repeat kinase 2	AA827621	ENSG00000188906|ENSG00000188906	Hs.187636
119		"Homo sapiens, clone IMAGE:4294444, mRNA"	AW103045	NA|NA	Hs.591306
120	KLHL12	Kelch-like 12 (Drosophila)	AL045839	ENSG00000117153	Hs.706793
121	IDH1	"Isocitrate dehydrogenase 1 (NADP+), soluble"	T78440	ENSG00000138413|ENSG00000138413	Hs.593422
122		"Transcribed locus, strongly similar to NP_057315.3 nemo like kinase [Homo sapiens]"	AA688152	NA	Hs.710358
123	ZNF681	Zinc finger protein 681	AA909012	ENSG00000196172	Hs.399952
124	LOC727773	Similar to p28 ING5	AW295003	ENSG00000215693|ENSG00000168395|ENSG00000215693|ENSG00000168395	Hs.529172
125	ZNF512B	Zinc finger protein 512B	AB033022	ENSG00000196700	Hs.551552
126	ZNF490	Zinc finger protein 490	AB033024	ENSG00000188033	Hs.655860
127	KIAA1199	KIAA1199	AB033025	ENSG00000103888	Hs.459088
128	PLEKHH1	"Pleckstrin homology domain containing, family H (with MyTH4 domain) member 1"	AB033026	ENSG00000054690	Hs.594236
129	CHIA	"Chitinase, acidic"	AB025008	ENSG00000134216	Hs.128814
130	GRAMD1B	GRAM domain containing 1B	AB033027	ENSG00000023171	Hs.144725
131	SHROOM4	Shroom family member 4	AB033028		Hs.420541
132	USP31	Ubiquitin specific peptidase 31	AB033029	ENSG00000103404	Hs.183817
133	C15orf41	Chromosome 15 open reading frame 41	AF114263	ENSG00000186073	Hs.48348
134	NEXN	Nexilin (F actin binding protein)	AF114264	ENSG00000162614	Hs.612385
135	CCNY	Cyclin Y	AI921096	ENSG00000108100	Hs.14745
136	LOC153328	Mitochondrial carrier protein-like	AI264172	NA	Hs.412418
137		Transcribed locus	AI248804		Hs.655791
138	DENND1A	DENN/MADD domain containing 1A	AI671592		Hs.568340
139	SAMD10	Sterile alpha motif domain containing 10	AA779715	ENSG00000130590	Hs.27189
140	OCEL1	Occludin/ELL domain containing 1	AA428150	ENSG00000099330	Hs.422676
141	LOC644246	Hypothetical protein LOC644246	AI936474	NA	Hs.644600
142	hCG_2007354	HCG2007354	AA757088	NA	Hs.703008
143		ELISC-1	AI039691	NA|NA|NA|NA|NA	Hs.128434
144	RABL3	"RAB, member of RAS oncogene family-like 3"	AA744682		Hs.444360
145	CDGAP	Cdc42 GTPase-activating protein	AB033030		Hs.668218
146	TTC14	Tetratricopeptide repeat domain 14	AI800804	ENSG00000163728	Hs.43213
147	PRR12	Proline rich 12	AB033031	ENSG00000126464	Hs.590971
148	PLXNB3	Plexin B3	AB033032		Hs.632833
149	GNPTAB	"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits"	AB033034		Hs.46850
150	PLEKHG1	"Pleckstrin homology domain containing, family G (with RhoGef domain) member 1"	AB033035	ENSG00000120278	Hs.189781
151	KIAA1210	KIAA1210	AB033036	ENSG00000175553	Hs.97594
152	KIAA1211	KIAA1211	AB033037	ENSG00000109265	Hs.596667
153		Transcribed locus	AW269056		Hs.660511
154		Transcribed locus	AA482008		Hs.105103
155		Transcribed locus	AI921318		Hs.660179
156		"Homo sapiens, clone IMAGE:5229134, mRNA"	AA868782	NA	Hs.661837
157	ZBTB17	Zinc finger and BTB domain containing 17	AW082221		Hs.433764
158			AI566771_RC		Data not found
159	PTCD3	Pentatricopeptide repeat domain 3	AI223455		Hs.323489
160		Transcribed locus	AA732245		Hs.65857
161	ARID4B	AT rich interactive domain 4B (RBP1-like)	AF227899		Hs.575782
162	RNF150	Ring finger protein 150	AB033040	ENSG00000170153	Hs.659104
163	VANGL2	"Vang-like 2 (van gogh, Drosophila)"	AB033041	ENSG00000162738	Hs.99477
164	KIAA1217	KIAA1217	AB033043		Hs.445885
165	MAP3K7IP3	Mitogen-activated protein kinase kinase kinase 7 interacting protein 3	AA130955		Hs.188256
166	ATXN7L1	Ataxin 7-like 1	AB033044	ENSG00000146776	Hs.489603
167			AB033045		Data not found
168	GRID1	"Glutamate receptor, ionotropic, delta 1"	AB033046	ENSG00000182771	Hs.530653
169	ABCA6	"ATP-binding cassette, sub-family A (ABC1), member 6"	AI651024	ENSG00000154262	Hs.709514
170		"Transcribed locus, strongly similar to XP_001175072.1 PREDICTED: hypothetical protein [Pan troglodytes]"	AI138864	NA	Hs.368328
171	ANKRD50	Ankyrin repeat domain 50	AB033049	ENSG00000151458|ENSG00000151458	Hs.480694
172		Transcribed locus	AI148613		Hs.477528
173		Transcribed locus	AA766209		Hs.560346
174			AF024616		Data not found
175	SPOPL	Speckle-type POZ protein-like	AA810203		Hs.333297
176		Transcribed locus	AA970451		Hs.602492
177		"Transcribed locus, moderately similar to NP_872433.1 WD repeat domain 53 [Homo sapiens]"	AA810082	NA	Hs.687806
178		Transcribed locus	AI745115		Hs.494100
179	VANGL1	"Vang-like 1 (van gogh, Drosophila)"	W68638		Hs.515130
180	TMPRSS3	"Transmembrane protease, serine 3"	AA534591	ENSG00000160183	Hs.208600
181			AA757150		Data not found
182		"CDNA FLJ32805 fis, clone TESTI2002690"	AW188280	NA	Hs.149004
183	C17orf74	Chromosome 17 open reading frame 74	AI269514	ENSG00000184560	Hs.380704
184	PACRGL	PARK2 co-regulated-like	AI081216	ENSG00000163138|ENSG00000163138	Hs.479298
185	INTS4	Integrator complex subunit 4	AA167642	ENSG00000149262|ENSG00000149262	Hs.533723
186	GNPTG	"N-acetylglucosamine-1-phosphate transferase, gamma subunit"	AA628898	ENSG00000090581	Hs.241575
187	ZMIZ1	"Zinc finger, MIZ-type containing 1"	AB033050		Hs.193118
188	NLN	Neurolysin (metallopeptidase M3 family)	AB033052	ENSG00000123213	Hs.247460
189	ZNF295	Zinc finger protein 295	AB033053	ENSG00000173276	Hs.434947
190			AB033054		Data not found
191	ODF2L	Outer dense fiber of sperm tails 2-like	AB033055	ENSG00000122417|ENSG00000122417	Hs.149360
192	DLG3	"Discs, large homolog 3 (Drosophila)"	AB033058		Hs.716481
193			R46799		Data not found
194	ADAMTSL3	ADAMTS-like 3	AB033059	ENSG00000156218	Hs.459162
195		Transcribed locus	AI096786		Hs.536953
196		Transcribed locus	AW014022		Hs.170953
197		Transcribed locus	AI826125		Hs.633518
198	SEMA5A	"Sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"	AF009314	ENSG00000112902|ENSG00000112902|ENSG00000112902	Hs.27621
199		Transcribed locus	AA446321		Hs.537515
200	ZNF664	Zinc finger protein 664	AA398284		Hs.524828
201		Transcribed locus	AI025039		Hs.131732
202	GSPT1	G1 to S phase transition 1	AA620657		Hs.528780
203			U46691		Data not found
204	CAPRIN1	Cell cycle associated protein 1	AA908213	ENSG00000135387|ENSG00000135387|ENSG00000135387	Hs.471818
205	TMEM178	Transmembrane protein 178	AA058832	ENSG00000152154	Hs.40808
206	PDCD6	Programmed cell death 6	AB033060		Hs.50823
207	ARID1B	AT rich interactive domain 1B (SWI1-like)	AB033061		Hs.714899
208	KIF26A	Kinesin family member 26A	AB033062	ENSG00000066735	Hs.134970
209	HEG1	HEG homolog 1 (zebrafish)	AB033063	ENSG00000173706	Hs.477420
210	RIMKLB	Ribosomal modification protein rimK-like family member B	AB033064		Hs.504670
211	KIAA1239	KIAA1239	AB033065	ENSG00000174145	Hs.4280
212	RNF32	Ring finger protein 32	R60655		Hs.490715
213	C17orf64	Chromosome 17 open reading frame 64	AI190160	ENSG00000141371	Hs.129312
214	ATAD2B	"ATPase family, AAA domain containing 2B"	AB033066	ENSG00000119778	Hs.467862
215			AB033067		Data not found
216	FZR1	Fizzy/cell division cycle 20 related 1 (Drosophila)	AB033068		Hs.413133
217	RBMS2	"RNA binding motif, single stranded interacting protein 2"	AI701570		Hs.505729
218	DTNBP1	Dystrobrevin binding protein 1	AI928142	ENSG00000047579|ENSG00000047579	Hs.571148
219	HOXA11	Homeobox A11	AI768361	ENSG00000005073|ENSG00000005073	Hs.249171
220		Transcribed locus	AW293452		Hs.656041
221		"CDNA FLJ33709 fis, clone BRAWH2007890"	AA931755	NA|NA	Hs.188825
222	FLJ35379	Similar to Alu subfamily J sequence contamination warning entry	AI539293	ENSG00000178734	Hs.586820
223	INPP5J	Inositol polyphosphate-5-phosphatase J	U45975	ENSG00000185133	Hs.517549
224	COL11A2	"Collagen, type XI, alpha 2"	AA604213	ENSG00000204248|ENSG00000206290	Hs.390171
225	MYEF2	Myelin expression factor 2	N50034		Hs.6638
226	KIAA1244	KIAA1244	AB033070	ENSG00000112379	Hs.656215
227	LRFN2	Leucine rich repeat and fibronectin type III domain containing 2	AB033072	ENSG00000156564	Hs.250015
228	SULF2	Sulfatase 2	AB033073	ENSG00000196562	Hs.162016
229	KIDINS220	"Kinase D-interacting substrate, 220kDa"	AB033076	ENSG00000134313	Hs.9873
230	SGPL1	Sphingosine-1-phosphate lyase 1	AB033078		Hs.499984
231	COL18A1	"Collagen, type XVIII, alpha 1"	AF018081	ENSG00000182871	Hs.517356
232	SERINC1	Serine incorporator 1	AB033079	ENSG00000111897	Hs.146668
233		"CDNA FLJ35001 fis, clone OCBBF2011887"	R15741	NA|NA	Hs.107418
234		Transcribed locus	AI652703		Hs.709751
235	LOC133874	Hypothetical gene LOC133874	AI809972	NA|NA	Hs.519749
236			AA609965		Data not found
237			AI339031		Data not found
238		Transcribed locus	AA973324		Hs.132624
239	TCTE1	T-complex-associated-testis-expressed 1	AW082685	ENSG00000146221	Hs.189183
240	RBMS2	"RNA binding motif, single stranded interacting protein 2"	AI090386		Hs.505729
241	SLC30A7	"Solute carrier family 30 (zinc transporter), member 7"	AI088029	ENSG00000162695|ENSG00000162695	Hs.533903
242		Transcribed locus	AI088510		Hs.572676
243	GLB1	"Galactosidase, beta 1"	M34423	ENSG00000170266|ENSG00000170266	Hs.443031
244	CCPG1	Cell cycle progression 1	AB033080		Hs.285051
245	PVT1	Pvt1 oncogene (non-protein coding)	M34428	NA|NA|NA	Hs.133107
246	ANKFY1	Ankyrin repeat and FYVE domain containing 1	AB033081		Hs.696087
247	KIAA1257	KIAA1257	AB033083	ENSG00000114656	Hs.518247
248			X56210		Data not found
249	INO80	INO80 homolog (S. cerevisiae)	AB033085	ENSG00000128908	Hs.292949
250	ACTL8	Actin-like 8	U20582	ENSG00000117148	Hs.2149
251	NLGN4X	"Neuroligin 4, X-linked"	AB033086	ENSG00000146938	Hs.21107
252	TLE4	"Transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)"	AB033087		Hs.444213
253	SYNE1	"Spectrin repeat containing, nuclear envelope 1"	AB033088	ENSG00000131018|ENSG00000131018	Hs.12967
254	FSTL5	Follistatin-like 5	AB033089	ENSG00000168843	Hs.591707
255	C7orf62	Chromosome 7 open reading frame 62	AA922104	ENSG00000164645	Hs.112877
256	LOC642533	Hypothetical LOC642533	AW206579	NA	Hs.54713
257		Transcribed locus	AI147392		Hs.651479
258	DDX3Y	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked"	AA806363		Hs.99120
259		Transcribed locus	AI631610		Hs.121383
260		"Homo sapiens, clone IMAGE:5744200, mRNA"	AI418368	NA	Hs.98945
261	PAK7	P21 protein (Cdc42/Rac)-activated kinase 7	AB033090	ENSG00000101349	Hs.32539
262	SLC39A10	"Solute carrier family 39 (zinc transporter), member 10"	AB033091	ENSG00000196950	Hs.650158
263	MTA3	"Metastasis associated 1 family, member 3"	AB033092	ENSG00000057935	Hs.435413
264	KIAA1267	KIAA1267	AB033093	ENSG00000120071	Hs.648744
265	DNM3	Dynamin 3	AI435932	ENSG00000197959|ENSG00000197959	Hs.654775
266			T86737		Data not found
267	PARP14	"Poly (ADP-ribose) polymerase family, member 14"	AB033094	ENSG00000173193	Hs.518203
268	AARS2	"Alanyl-tRNA synthetase 2, mitochondrial (putative)"	AB033096		Hs.158381
269	CRX	Cone-rod homeobox	AA701006	ENSG00000105392|ENSG00000105392	Hs.617342
270	MAVS	Mitochondrial antiviral signaling protein	AB033097	ENSG00000088888|ENSG00000088888	Hs.570362
271	ATAD3B	"ATPase family, AAA domain containing 3B"	AB033099	ENSG00000160072	Hs.23413
272	PSTPIP2	Proline-serine-threonine phosphatase interacting protein 2	AA102566	ENSG00000152229	Hs.567384
273	NUDT7	Nudix (nucleoside diphosphate linked moiety X)-type motif 7	AI927964	ENSG00000140876	Hs.719356
274	SDHB	"Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	NM_003000	ENSG00000117118	Hs.465924
275	SDHC	"Succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	NM_003001	ENSG00000143252|ENSG00000143252	Hs.444472
276	SDHD	"Succinate dehydrogenase complex, subunit D, integral membrane protein"	NM_003002	ENSG00000204370	Hs.719164
277	C16orf73	Chromosome 16 open reading frame 73	AI655665	ENSG00000162039	Hs.662737
278	SEC14L1	SEC14-like 1 (S. cerevisiae)	NM_003003	ENSG00000129657	Hs.464184
279	SECTM1	Secreted and transmembrane 1	NM_003004	ENSG00000141574	Hs.558009
280	SELP	"Selectin P (granule membrane protein 140kDa, antigen CD62)"	NM_003005	ENSG00000174175	Hs.73800
281	SELPLG	Selectin P ligand	NM_003006	ENSG00000110876	Hs.591014
282	WDR33	WD repeat domain 33	AI690065		Hs.620490
283	LIN28B	Lin-28 homolog B (C. elegans)	AL039884	ENSG00000187772	Hs.23616
284	UNC93A	Unc-93 homolog A (C. elegans)	W92075	ENSG00000112494|ENSG00000112494	Hs.567508
285	SEMG1	Semenogelin I	NM_003007	ENSG00000124233	Hs.1968
286	SEMG2	Semenogelin II	NM_003008	ENSG00000124157	Hs.537218
287	SEPW1	"Selenoprotein W, 1"	NM_003009	ENSG00000178980	Hs.631549
288	PRKAA1	"Protein kinase, AMP-activated, alpha 1 catalytic subunit"	AI810497	ENSG00000132356|ENSG00000132356	Hs.43322
289	ADAM3A	ADAM metallopeptidase domain 3A (cyritestin 1)	X89657	NA	Hs.98848
290	FLJ42875	Hypothetical LOC440556	AI187066	NA|NA	Hs.531041
291	MSRA	Methionine sulfoxide reductase A	AA994467	ENSG00000175806|ENSG00000175806	Hs.490981
292		Transcribed locus	AA954896		Hs.127358
293			AI992093		Data not found
294	RXRB	"Retinoid X receptor, beta"	X63522	ENSG00000206218|ENSG00000206289|ENSG00000204231	Hs.388034
295		Transcribed locus	AI017875		Hs.665415
296	PJA1	Praja ring finger 1	AI796967	ENSG00000181191	Hs.522679
297	MAP2K4	Mitogen-activated protein kinase kinase 4	NM_003010	ENSG00000065559	Hs.514681
298	SET	SET nuclear oncogene	NM_003011	ENSG00000119335	Hs.436687
299		Transcribed locus	AI125340		Hs.125562
300	SFRP1	Secreted frizzled-related protein 1	NM_003012	ENSG00000104332	Hs.713546
301	SFRP4	Secreted frizzled-related protein 4	NM_003014	ENSG00000106483	Hs.658169
302	SFRP5	Secreted frizzled-related protein 5	NM_003015	ENSG00000120057	Hs.279565
303	SFRS2	"Splicing factor, arginine/serine-rich 2"	NM_003016	ENSG00000161547	Hs.713672
304	SFRS3	"Splicing factor, arginine/serine-rich 3"	NM_003017	ENSG00000112081|ENSG00000112081	Hs.405144
305		"Immunoglobulin (mAb56) light chain V region mRNA, partial sequence"	D84140	NA	Hs.640434
306	SFTPC	Surfactant protein C	NM_003018	ENSG00000168484	Hs.1074
307		Transcribed locus	AW015301		Hs.672259
308	SFTPD	Surfactant protein D	NM_003019	ENSG00000133661	Hs.253495
309	IGL@	Immunoglobulin lambda locus	D84143	NA|NA|NA|NA|NA|NA|NA|NA	Hs.449585
310		"CDNA FLJ37931 fis, clone CTONG2004397"	AI457984	NA	Hs.658353
311		Transcribed locus	AW291839		Hs.444550
312			AI033397		Data not found
313			U12597		Data not found
314	MOBKL2C	"MOB1, Mps One Binder kinase activator-like 2C (yeast)"	AW134553	ENSG00000142961	Hs.632401
315	ASPRV1	"Aspartic peptidase, retroviral-like 1"	AI739528	ENSG00000179818|ENSG00000179818	Hs.516253
316	LOC441453	"Similar to olfactory receptor, family 7, subfamily A, member 17"	AI138970	NA	Hs.523504
317			AA218986		Data not found
318	SCG5	Secretogranin V (7B2 protein)	NM_003020	ENSG00000166922	Hs.156540
319	SGTA	"Small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"	NM_003021	ENSG00000104969	Hs.203910
320	TTC23L	Tetratricopeptide repeat domain 23-like	AA778616	ENSG00000205838	Hs.435742
321	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	NM_003022	ENSG00000131171	Hs.108029
322	SH3BP2	SH3-domain binding protein 2	NM_003023	ENSG00000087266|ENSG00000087266	Hs.167679
323	ITSN1	Intersectin 1 (SH3 domain protein)	NM_003024		Hs.160324
324	SH3GL1	SH3-domain GRB2-like 1	NM_003025	ENSG00000141985	Hs.97616
325		"CDNA FLJ44429 fis, clone UTERU2015653"	AW294011	NA	Hs.86538
326	TRAPPC9	Trafficking protein particle complex 9	AW291218	ENSG00000167632	Hs.654911
327	SH3GL2	SH3-domain GRB2-like 2	NM_003026	ENSG00000107295	Hs.715611
328			AA813202_RC		Data not found
329	SH3GL3	SH3-domain GRB2-like 3	NM_003027	ENSG00000140600	Hs.270055
330	SHB	Src homology 2 domain containing adaptor protein B	NM_003028	ENSG00000107338	Hs.521482
331	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	NM_003029	ENSG00000160691	Hs.433795
332		"Clone IMAGE:609899, mRNA sequence"	AI424342	NA	Hs.660369
333		Transcribed locus	R46390		Hs.6795
334	DIRC3	Disrupted in renal carcinoma 3	AA160945	NA	Hs.572788
335	LOC643406	Hypothetical protein LOC643406	AA758864	ENSG00000205181	Hs.431161
336		Transcribed locus	AA813856		Hs.593514
337	LDHB	Lactate dehydrogenase B	NM_002300	ENSG00000111716	Hs.446149
338	SHOX2	Short stature homeobox 2	NM_003030		Hs.55967
339	LDHC	Lactate dehydrogenase C	NM_002301	ENSG00000166796	Hs.654377
340		Transcribed locus	AA449120		Hs.537037
341		Transcribed locus	AA884004		Hs.125533
342	LRRIQ3	Leucine-rich repeats and IQ motif containing 3	AA884906		Hs.644625
343	SIAH1	Seven in absentia homolog 1 (Drosophila)	NM_003031	ENSG00000196470	Hs.295923
344	LECT2	Leukocyte cell-derived chemotaxin 2	NM_002302	ENSG00000145826	Hs.512580
345	ST6GAL1	"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1"	NM_003032	ENSG00000073849	Hs.207459
346	LEPR	Leptin receptor	NM_002303	ENSG00000116678|ENSG00000116678	Hs.705413
347	ST3GAL1	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"	NM_003033	ENSG00000008513	Hs.374257
348	ST8SIA1	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"	NM_003034	ENSG00000111728	Hs.408614
349	LGALS1	"Lectin, galactoside-binding, soluble, 1"	NM_002305	ENSG00000100097	Hs.445351
350	PDLIM2	PDZ and LIM domain 2 (mystique)	AI057117	ENSG00000120913	Hs.632034
351	FUT10	"Fucosyltransferase 10 (alpha (1,3) fucosyltransferase)"	AI147738	ENSG00000172728	Hs.458713
352	LGALS3	"Lectin, galactoside-binding, soluble, 3"	NM_002306		Hs.531081
353	STIL	SCL/TAL1 interrupting locus	NM_003035	ENSG00000123473	Hs.525198
354	LGALS7	"Lectin, galactoside-binding, soluble, 7"	NM_002307	ENSG00000178934|ENSG00000205076	Hs.707031
355	SKI	V-ski sarcoma viral oncogene homolog (avian)	NM_003036	ENSG00000157933	Hs.663133
356	LGALS9	"Lectin, galactoside-binding, soluble, 9"	NM_002308		Hs.81337
357	SLAMF1	Signaling lymphocytic activation molecule family member 1	NM_003037	ENSG00000117090	Hs.523660
358	LIF	Leukemia inhibitory factor (cholinergic differentiation factor)	NM_002309	ENSG00000128342	Hs.2250
359	SLC1A4	"Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"	NM_003038	ENSG00000115902	Hs.654352
360	SLC2A5	"Solute carrier family 2 (facilitated glucose/fructose transporter), member 5"	NM_003039	ENSG00000142583	Hs.530003
361		Transcribed locus	AI348265		Hs.368810
362		Transcribed locus	AI218173		Hs.446301
363		Transcribed locus	AA846804		Hs.624064
364	RAB3IP	RAB3A interacting protein (rabin3)	AI499865	ENSG00000127328	Hs.258209
365	C16orf84	Chromosome 16 open reading frame 84	R60020	ENSG00000174177	Hs.592074
